policy_id,precision,recall,f1,tp,fp,fn
241,0.125,0.167,0.143,1,7,5
242,0.0,0.0,0.0,0,0,15
243,1.0,1.0,1.0,1,0,0
244,0.5,0.444,0.471,4,4,5
246,1.0,0.667,0.8,2,0,1
247,0.667,0.667,0.667,2,1,1
249,0.333,1.0,0.5,1,2,0
25,0.0,0.0,0.0,0,0,17
250,0.667,0.5,0.571,2,1,2
251,0.0,0.0,0.0,0,0,20
252,0.25,0.375,0.3,3,9,5
253,0.667,0.235,0.348,4,2,13
254,1.0,0.333,0.5,3,0,6
255,0.0,0.0,0.0,0,0,17
256,0.0,0.0,0.0,0,0,17
257,0.25,0.167,0.2,1,3,5
258,0.0,0.0,0.0,0,0,15
259,0.333,0.25,0.286,2,4,6
26,0.5,0.333,0.4,3,3,6
260,0.0,0.0,0.0,0,0,19
261,0.0,0.0,0.0,0,1,0
262,0.333,0.333,0.333,1,2,2
263,0.0,0.0,0.0,0,0,17
264,0.0,0.0,0.0,0,3,3
265,1.0,1.0,1.0,1,0,0
266,0.75,0.375,0.5,3,1,5
267,0.333,0.4,0.364,2,4,3
269,0.5,0.143,0.222,2,2,12
27,0.0,0.0,0.0,0,0,4
270,0.333,0.333,0.333,1,2,2
271,0.5,0.333,0.4,2,2,4
272,0.5,0.143,0.222,2,2,12
273,0.5,0.286,0.364,2,2,5
274,0.0,0.0,0.0,0,0,13
275,1.0,0.333,0.5,1,0,2
276,0.25,0.25,0.25,1,3,3
277,0.0,0.0,0.0,0,4,10
278,0.4,1.0,0.571,2,3,0
279,0.333,0.25,0.286,2,4,6
28,0.5,0.5,0.5,3,3,3
280,0.6,0.6,0.6,3,2,2
281,0.0,0.0,0.0,0,0,14
282,0.0,0.0,0.0,0,0,25
283,0.8,0.8,0.8,4,1,1
284,0.0,0.0,0.0,0,0,18
285,0.0,0.0,0.0,0,0,15
286,0.5,0.375,0.429,3,3,5
287,0.0,0.0,0.0,0,0,16
288,0.6,0.273,0.375,3,2,8
289,0.5,0.286,0.364,2,2,5
29,0.667,0.333,0.444,2,1,4
290,0.0,0.0,0.0,0,0,16
291,1.0,0.5,0.667,1,0,1
292,0.429,0.429,0.429,3,4,4
293,0.167,0.111,0.133,1,5,8
294,1.0,0.6,0.75,3,0,2
295,0.75,0.5,0.6,3,1,3
296,0.0,0.0,0.0,0,0,18
297,0.0,0.0,0.0,0,0,8
298,0.6,0.214,0.316,3,2,11
299,0.0,0.0,0.0,0,3,4
3,0.0,0.0,0.0,0,4,1
30,0.0,0.0,0.0,0,0,17
300,0.0,0.0,0.0,0,0,1
301,0.0,0.0,0.0,0,1,1
302,0.0,0.0,0.0,0,0,19
303,0.0,0.0,0.0,0,0,20
304,0.0,0.0,0.0,0,0,5
305,0.0,0.0,0.0,0,1,1
306,0.0,0.0,0.0,0,0,22
307,0.25,1.0,0.4,1,3,0
308,0.0,0.0,0.0,0,0,25
309,0.0,0.0,0.0,0,0,8
31,0.333,0.111,0.167,1,2,8
310,0.0,0.0,0.0,0,1,4
312,0.25,1.0,0.4,1,3,0
313,0.0,0.0,0.0,0,0,3
314,0.0,0.0,0.0,0,0,16
315,0.0,0.0,0.0,0,2,1
316,0.714,0.455,0.556,5,2,6
317,0.0,0.0,0.0,0,0,26
318,0.5,0.286,0.364,2,2,5
319,0.0,0.0,0.0,0,0,11
32,0.667,0.5,0.571,2,1,2
320,0.0,0.0,0.0,0,0,16
321,0.667,0.5,0.571,2,1,2
322,0.0,0.0,0.0,0,0,23
323,0.857,0.462,0.6,6,1,7
324,0.0,0.0,0.0,0,0,24
325,0.0,0.0,0.0,0,0,18
326,0.0,0.0,0.0,0,0,4
327,0.25,0.125,0.167,2,6,14
328,0.5,0.5,0.5,4,4,4
329,0.0,0.0,0.0,0,0,21
33,0.625,0.263,0.37,5,3,14
330,0.0,0.0,0.0,0,0,18
331,0.0,0.0,0.0,0,1,3
334,0.0,0.0,0.0,0,0,21
335,0.0,0.0,0.0,0,0,21
336,0.0,0.0,0.0,0,0,20
337,0.0,0.0,0.0,0,0,0
338,0.4,0.222,0.286,2,3,7
339,0.667,0.5,0.571,2,1,2
34,0.5,0.333,0.4,1,1,2
340,0.0,0.0,0.0,0,0,10
341,0.0,0.0,0.0,0,0,18
342,0.0,0.0,0.0,0,0,10
343,0.0,0.0,0.0,0,0,14
344,0.0,0.0,0.0,0,3,7
345,0.5,0.333,0.4,1,1,2
346,0.167,1.0,0.286,1,5,0
347,0.6,0.375,0.462,3,2,5
348,0.0,0.0,0.0,0,0,16
349,0.2,0.2,0.2,1,4,4
35,0.571,0.308,0.4,4,3,9
350,0.0,0.0,0.0,0,0,31
36,1.0,1.0,1.0,1,0,0
37,0.273,0.6,0.375,3,8,2
38,0.0,0.0,0.0,0,0,18
39,0.8,0.5,0.615,4,1,4
4,0.0,0.0,0.0,0,0,25
40,0.75,0.5,0.6,3,1,3
41,0.0,0.0,0.0,0,0,14
42,0.333,0.25,0.286,1,2,3
43,0.0,0.0,0.0,0,0,15
44,0.2,0.25,0.222,1,4,3
45,0.5,0.333,0.4,3,3,6
46,0.0,0.0,0.0,0,0,17
48,0.0,0.0,0.0,0,0,14
49,0.0,0.0,0.0,0,0,14
5,0.0,0.0,0.0,0,3,2
50,0.333,1.0,0.5,1,2,0
51,0.167,0.2,0.182,1,5,4
52,0.667,0.667,0.667,2,1,1
53,1.0,0.167,0.286,2,0,10
54,0.0,0.0,0.0,0,0,36
55,0.0,0.0,0.0,0,0,15
56,0.0,0.0,0.0,0,0,14
57,0.2,0.25,0.222,1,4,3
58,0.0,0.0,0.0,0,0,14
59,0.0,0.0,0.0,0,0,12
6,0.0,0.0,0.0,0,0,16
60,1.0,0.5,0.667,1,0,1
61,0.0,0.0,0.0,0,0,17
62,0.0,0.0,0.0,0,0,30
63,0.333,0.333,0.333,2,4,4
64,0.5,1.0,0.667,1,1,0
65,0.0,0.0,0.0,0,0,27
66,0.556,0.333,0.417,5,4,10
67,0.0,0.0,0.0,0,0,28
68,0.0,0.0,0.0,0,3,3
69,0.364,0.222,0.276,4,7,14
7,0.25,0.2,0.222,1,3,4
70,0.2,0.077,0.111,1,4,12
71,0.5,0.5,0.5,2,2,2
72,0.2,0.143,0.167,1,4,6
73,0.4,0.2,0.267,2,3,8
75,0.0,0.0,0.0,0,0,27
76,0.0,0.0,0.0,0,1,3
77,0.0,0.0,0.0,0,0,17
78,0.0,0.0,0.0,0,0,18
79,0.0,0.0,0.0,0,0,18
8,0.429,0.333,0.375,3,4,6
80,0.0,0.0,0.0,0,0,16
81,0.4,0.333,0.364,2,3,4
82,0.0,0.0,0.0,0,0,15
83,0.0,0.0,0.0,0,0,19
84,0.0,0.0,0.0,0,1,1
85,0.0,0.0,0.0,0,0,29
86,0.667,0.167,0.267,2,1,10
87,0.0,0.0,0.0,0,0,13
88,0.0,0.0,0.0,0,0,13
89,0.0,0.0,0.0,0,0,16
9,0.0,0.0,0.0,0,2,1
91,0.667,0.571,0.615,4,2,3
92,0.0,0.0,0.0,0,4,1
93,0.0,0.0,0.0,0,0,25
94,0.5,0.571,0.533,4,4,3
95,0.667,1.0,0.8,2,1,0
96,0.75,0.375,0.5,3,1,5
97,0.667,0.444,0.533,4,2,5
98,0.0,0.0,0.0,0,2,2
99,0.333,0.133,0.19,2,4,13
