policy_id,config,threshold,n_chunks,precision,recall,f1,tp,fp,fn,true_positives,false_positives,false_negatives
11,semantic,0.0,9,0.0,0.0,0.0,0,5,3,,device_id_imei_1stparty|identifier_android_id_1stparty|identifier_ip_address_1stparty|location_mcc_1stparty|log_information_1stparty,contact_e_mail_address_1stparty|identifier_device_id_1stparty|location_1stparty
112,semantic,0.0,34,0.4,0.095,0.154,2,3,19,contact_1stparty|identifier_ip_address_1stparty,identifier_calllogs_1stparty|identifier_crashreporting_1stparty|identifier_simcardnumber_1stparty,contact_address_book_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|demographic_age_1stparty|demographic_gender_1stparty|facebook_sso|identifier_ad_id_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_3rdparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_1stparty|location_ip_address_1stparty|location_wifi_1stparty
113,semantic,0.0,15,0.857,0.333,0.48,6,1,12,identifier_device_id_1stparty|identifier_imei_1stparty|identifier_ip_address_1stparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_gps_1stparty,contact_1stparty_1stparty,contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|location_1stparty|location_bluetooth_1stparty|location_cell_tower_1stparty|location_ip_address_1stparty|location_wifi_1stparty
139,semantic,0.0,21,0.8,0.148,0.25,4,1,23,demographic_age_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|location_gps_1stparty,sso_1stparty,contact_1stparty|contact_3rdparty|contact_e_mail_address_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|contact_zip_1stparty|demographic_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_3rdparty|identifier_mac_1stparty|location_1stparty|location_3rdparty|location_bluetooth_1stparty|location_bluetooth_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_gps_3rdparty|location_ip_address_1stparty|location_ip_address_3rdparty|location_wifi_1stparty|location_wifi_3rdparty
146,semantic,0.0,19,0.286,0.111,0.16,2,5,16,identifier_ad_id_1stparty|identifier_ip_address_1stparty,demographic_age_1stparty|facebook_sso_1stparty|identifier_device_id_1stparty|location_gps_1stparty|sso_1stparty,contact_3rdparty|facebook_sso|identifier_1stparty|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_ip_address_3rdparty|identifier_mobile_carrier_1stparty|identifier_mobile_carrier_3rdparty|location_1stparty|location_3rdparty|location_cell_tower_1stparty|location_cell_tower_3rdparty|location_ip_address_1stparty|location_ip_address_3rdparty|sso
150,semantic,0.0,23,0.833,0.556,0.667,10,2,8,demographic_age_1stparty|demographic_gender_1stparty|identifier_ad_id_1stparty|identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|location_cell_tower_1stparty|location_gps_1stparty|location_ip_address_1stparty|location_wifi_1stparty,contact_1stparty|demographic_interest_1stparty,contact_city_1stparty|contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|identifier_cookie_or_similar_tech_3rdparty|identifier_mobile_carrier_1stparty|location_1stparty|location_bluetooth_1stparty
163,semantic,0.0,19,0.667,0.308,0.421,4,2,9,identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty|location_ip_address_1stparty,contact_1stparty|demographic_age_1stparty,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_1stparty|identifier_3rdparty|identifier_mobile_carrier_1stparty|location_1stparty|sso
201,semantic,0.0,8,0.125,1.0,0.222,1,7,0,identifier_device_id_1stparty,identifier_ad_id_1stparty|identifier_imei_1stparty|identifier_mac_1stparty|identifier_sim_serial_1stparty|location_cell_tower_1stparty|location_ip_address_1stparty|location_wifi_1stparty,
211,semantic,0.0,25,1.0,0.273,0.429,3,0,8,identifier_cookie_or_similar_tech_1stparty|identifier_device_id_1stparty|identifier_device_id_3rdparty,,contact_e_mail_address_1stparty|contact_password_1stparty|contact_phone_number_1stparty|contact_postal_address_1stparty|demographic_gender_1stparty|identifier_ip_address_1stparty|identifier_mobile_carrier_1stparty|location_1stparty
225,semantic,0.0,17,0.667,0.4,0.5,6,3,9,contact_e_mail_address_1stparty|demographic_age_1stparty|demographic_gender_1stparty|identifier_ad_id_1stparty|identifier_device_id_1stparty|identifier_ip_address_1stparty,location_gps_1stparty|location_ip_address_3rdparty|sso_1stparty,contact_address_book_1stparty|contact_password_1stparty|demographic_3rdparty|facebook_sso|identifier_ad_id_3rdparty|identifier_cookie_or_similar_tech_1stparty|identifier_cookie_or_similar_tech_3rdparty|location_1stparty|sso
