policy_id,practice,modality,evidence,explanation,grounded_in_evidence,understandable,not_misleading,reviewer_notes
8,Identifier_IP_Address_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, IP address""",The app collects the user's IP address.,,,,
8,Identifier_MAC_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, Media Access Control (MAC) address""",The app collects the user's MAC address.,,,,
8,Identifier_IMEI_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, International Equipment Mobile ID (IMEI)""",The app collects the user's IMEI.,,,,
8,Location_GPS_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, the device’s geo-location""",The app collects the user's GPS location.,,,,
8,Contact_City_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, home address""",The app collects the user's city from their home address.,,,,
8,Contact_1stParty,PERFORMED,"""Personal information is information that specifically identifies an individual, including, but not limited to, an individual’s name, phone number, credit card or other billing information, email address and home address""",The app collects various types of contact information.,,,,
11,Location_IP_Address_1stParty,PERFORMED,"location information, the MCC (mobile country code); device information, such as your hardware model, android ID, and operation system version)",The app collects location information including IP address.,,,,
11,Identifier_Device_ID_1stParty,PERFORMED,"device information, such as your hardware model, android ID, and operation system version)",The app collects device identifiers including Android ID.,,,,
11,Identifier_MAC_1stParty,NOT_PERFORMED,,There is no mention of MAC address collection in the provided text.,,,,
11,Identifier_IMEI_1stParty,NOT_PERFORMED,,There is no mention of IMEI number collection in the provided text.,,,,
11,Location_Bluetooth_1stParty,NOT_PERFORMED,,There is no mention of Bluetooth location data collection in the provided text.,,,,
225,Identifier_Device_ID_1stParty,PERFORMED,"[2] we use cookies and HTML5 local storage to help us create your session, know when you’re logged in and help us remember certain information about how you interact with Flipboard.",The app uses device identifiers (cookies and HTML5 local storage) to track user interactions.,,,,
225,Identifier_Ad_ID_1stParty,PERFORMED,"[4] For more information about our advertising partners’ practices, please visit Datalogix and Oracle . You can learn more about interested-based advertising, including how to opt out of third-party partners’ advertising you see on Flipboard and on other services, by visiting http://www.aboutads.info/choices/ .",The app uses ad IDs for interest-based advertising.,,,,
225,Location_IP_Address_1stParty,PERFORMED,"[2] This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The app collects users' IP addresses as part of their interactions.,,,,
225,Location_GPS_1stParty,NOT_PERFORMED,"[2] This includes data about your device, software, operating system, operating system- provided device or user-specific advertising IDs for advertisement tracking (“Advertising IDs”), your IP address and the date and time of each request you make to Flipboard.",The excerpt does not mention GPS location.,,,,
225,Contact_1stParty,PERFORMED,"[6] When you create an account with Flipboard, you give us your full name and email address, and create a username and password.",The app collects contact information (name and email) during the account creation process.,,,,
225,SSO_1stParty,PERFORMED,"[6] If you want, you can sign in through an account you already have with another service, such as Facebook.",The app supports Single Sign-On (SSO) via other services like Facebook.,,,,
201,Contact_1stParty_1stParty,PERFORMED,"""If you have any questions about this Policy, or to report any violations of the Policy, please contact us at 2bunnylabs@gmail.com""",The app provides a contact email address for users to ask questions or report policy violations.,,,,
201,Identifier_Device_ID_1stParty,PERFORMED,"""we may collect and use non-personal information in the following circumstances: To have a better understanding in user’s behavior, solve problems in products and services, improve our products, services and advertising, we may collect non-personal information such as your hardware model, operating system version, unique device identifiers""",The app collects unique device identifiers to understand user behavior.,,,,
201,Location_GPS_1stParty,PERFORMED,"""If you use the “Capture intruder” feature, we may access to your camera permission for grab the photos of snoopers. We do not utilize your camera for any other purpose and all the pictures taken are kept locally in the device""",The app uses GPS location data when capturing intruders.,,,,
97,Identifier_IP_Address_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, IP address""",The app collects the user's IP address.,,,,
97,Identifier_MAC_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, Media Access Control (MAC) address""",The app collects the user's MAC address.,,,,
97,Identifier_IMEI_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, International Equipment Mobile ID (IMEI)""",The app collects the user's IMEI.,,,,
97,Location_IP_Address_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider, IP address""",The app collects the user's IP address which can be used to infer location.,,,,
97,Contact_City_1stParty,PERFORMED,"""we collect information regarding your device type, operating system and version, carrier provider""",The app collects the user's carrier provider which can be used to infer city.,,,,
97,Contact_E_Mail_Address_1stParty,PERFORMED,"""we will use it to respond to customer support inquiries, and keep you informed of your in-game activity""",The app uses the user's email address for communication.,,,,
294,Contact_E_Mail_Address_1stParty,PERFORMED,"""Upon registration, you are required to provide a valid Account E-mail address""",The app collects the user's email address during registration.,,,,
294,Identifier_IP_Address_1stParty,PERFORMED,"""We automatically retrieve and retain information about your device, computer and browser, including IP addresses""",The app collects the user's IP address as part of the data it retrieves from their device.,,,,
294,Identifier_Cookie_or_similar_Tech_1stParty,PERFORMED,"""We have the right to set and access cookies on your computer""",The app sets and accesses cookies on the user's device.,,,,
141,Location_GPS_1stParty,PERFORMED,[3] We may collect your location based information for the purpose of providing you location-based services.,The app collects and uses GPS location data.,,,,
141,Identifier_IP_Address_1stParty,PERFORMED,[3] This data is stored within Amazon Web Services.,The app collects and stores IP address information.,,,,
141,Identifier_Ad_ID_1stParty,PERFORMED,"[1] They may use this information to provide advertisements of interest to you. ## Ad network We may feature advertising within our service. The advertisers may collect and use information about you, such as your service session activity, or your Google advertising ID.",The app collects and uses ad IDs for advertising purposes.,,,,
141,Identifier_MAC_1stParty,PERFORMED,"[1] The third parties may have access to information such as your device identifier, MAC address, IMEI, locale (specific location where a given language is spoken), geo-location information, and IP address for the purpose of providing their services under their respective privacy policies.",The app collects and uses MAC addresses.,,,,
141,Identifier_IMEI_1stParty,PERFORMED,"[1] The third parties may have access to information such as your device identifier, MAC address, IMEI, locale (specific location where a given language is spoken), geo-location information, and IP address for the purpose of providing their services under their respective privacy policies.",The app collects and uses IMEI numbers.,,,,
141,Location_IP_Address_1stParty,PERFORMED,[3] This data is stored within Amazon Web Services.,The app collects and stores IP address information for location-based services.,,,,
2,Identifier_Device_ID_1stParty,PERFORMED,"[3] Some apps may request a location permission. In this case, your location is also anonymous and is only used by Ad networks to help tailor ads relevant to your location.",The policy mentions that the device ID is collected for ad tailoring purposes.,,,,
2,Location_GPS_1stParty,PERFORMED,"[3] Some apps may request a location permission. In this case, your location is also anonymous and is only used by Ad networks to help tailor ads relevant to your location.",The policy mentions that the app requests location permissions for ad tailoring purposes.,,,,
2,Identifier_Ad_ID_3rdParty,PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy explicitly states that ad networks can access the user's unique device identifier.,,,,
2,Location_IP_Address_3rdParty,PERFORMED,"[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you. [3] Some apps may request a location permission. In this case, your location is also anonymous and is only used by Ad networks to help tailor ads relevant to your location.",The policy mentions that ad networks can access the user's unique device identifier and use it for tailoring ads based on location.,,,,
2,Location_1stParty,PERFORMED,"[3] Some apps may request a location permission. In this case, your location is also anonymous and is only used by Ad networks to help tailor ads relevant to your location.",The policy mentions that the app requests location permissions for ad tailoring purposes.,,,,
2,Identifier_Cookie_or_similar_Tech_3rdParty,PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you. [4] Each of their own privacy policies are listed below.,"The policy mentions that ad networks can access the user's unique device identifier for tailoring ads, which implies the use of cookies or similar technologies.",,,,
2,Identifier_MAC_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of MAC addresses.,,,,
2,Identifier_IMEI_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of IMEI numbers.,,,,
2,Identifier_SIM_Serial_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of SIM serial numbers.,,,,
2,SSO_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention Single Sign-On (SSO) practices.,,,,
2,Facebook_SSO_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention Facebook Single Sign-On (SSO) practices.,,,,
2,Location_Cell_Tower_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of cell tower location data.,,,,
2,Location_WiFi_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of WiFi location data.,,,,
2,Location_Bluetooth_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of Bluetooth location data.,,,,
2,Contact_1stParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of contact information.,,,,
2,Contact_E_Mail_Address_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of email addresses.,,,,
2,Contact_Phone_Number_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of phone numbers.,,,,
2,Contact_Postal_Address_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of postal addresses.,,,,
2,Contact_Address_Book_3rdParty,NOT_PERFORMED,[1] Ad networks who provide adverts to our mobile applications may access your unique device identifier and use this to tailor ads to you.,The policy does not mention the collection or use of address books.,,,,
